Price,Mileage,Cylinders,Car_Age,Mileage_per_Year,Repair Needed,Brand_Encoded,Fuel Type_diesel,Fuel Type_electric,Fuel Type_gas,Fuel Type_hybrid,Fuel Type_other,Transmission_automatic,Transmission_manual,Body Type_bus,Body Type_convertible,Body Type_coupe,Body Type_hatchback,Body Type_minivan,Body Type_offroad,Body Type_other,Body Type_pickup,Body Type_sedan,Body Type_suv,Body Type_truck,Body Type_van,Body Type_wagon,Condition_excellent,Condition_fair,Condition_good,Condition_new,Condition_salvage,Title Status_clean,Title Status_lien,Title Status_missing,Title Status_parts only,Title Status_rebuilt,Title Status_salvage
8500.0,0.7395825448602426,1.4462442722266602,0.005252191040095429,9666.666666666666,1,-0.4425642134715591,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
4750.0,0.16233677310247266,0.20935954603106635,-0.5375189635379369,11666.666666666666,1,-2.460762811848352,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
6350.0,-0.13499573280322805,-1.0275251801645275,-0.8089045408269531,13609.666666666666,1,-1.683661790432741,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
7000.0,-0.1619395280908628,1.4462442722266602,0.3670996274254503,5495.454545454545,1,0.2725828940983038,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
7000.0,0.28118149081730764,0.20935954603106635,0.09571405013643415,7736.8421052631575,1,0.2725828940983038,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
26850.0,-1.654289626252862,1.4462442722266602,-1.1707519772123078,6600.0,0,0.4608880474325936,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
4995.0,-0.26210864730765226,-1.0275251801645275,-0.6279808226342756,10454.545454545454,1,1.357700061864558,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
3150.0,-0.7487438107162687,-1.0275251801645275,0.005252191040095429,4796.5,1,0.7916980788182346,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
4999.0,-0.9242435031474472,0.20935954603106635,0.819408922907144,2814.814814814815,1,-2.460762811848352,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
6500.0,-0.6186428004521571,-1.0275251801645275,-0.5375189635379369,7833.333333333333,1,-1.683661790432741,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
15500.0,-0.21457076022171825,-1.0275251801645275,-0.7184426817306143,11780.0,1,0.4608880474325936,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
2500.0,1.4696286679656574,1.4462442722266602,0.9098707820034826,7750.0,1,0.7916980788182346,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
6900.0,-0.5507315331865372,0.20935954603106635,0.5480233456181277,4083.3333333333335,1,0.4608880474325936,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
8300.0,-0.2960642809404623,0.20935954603106635,-0.8993663999232918,14125.0,1,-0.4425642134715591,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
14500.0,-0.9412213199638522,-1.0275251801645275,-0.9898282590196305,10714.285714285714,0,0.4608880474325936,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1800.0,1.2319392325359875,-1.0275251801645275,0.3670996274254503,9227.272727272728,1,0.2725828940983038,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
6900.0,2.265073341447864,1.4462442722266602,0.5480233456181277,10993.833333333334,1,0.7916980788182346,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
5200.0,0.28118149081730764,0.20935954603106635,0.6384852047144665,5880.0,1,1.357700061864558,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
4500.0,-0.0753526623271973,-1.0275251801645275,-0.6279808226342756,11454.545454545454,1,-1.9369963606774718,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
19518.0,-1.671267443069267,-1.0275251801645275,-0.8993663999232918,4000.0,0,0.2725828940983038,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
4800.0,0.19629240673528264,-1.0275251801645275,0.09571405013643415,7473.684210526316,1,0.2725828940983038,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False
7500.0,0.9433163466571025,-1.0275251801645275,0.819408922907144,6888.888888888889,1,0.2725828940983038,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
18990.0,-1.2807776562919522,0.20935954603106635,-0.8993663999232918,6875.0,0,-1.9369963606774718,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
