Price,Mileage,Cylinders,Car_Age,Mileage_per_Year,Brand_Encoded,Condition_Risk,Title_Risk,Body_Risk,Fuel_Risk,Transmission_Risk,Price_Risk,Mileage_Risk,Age_Risk,Risk_Category,Condition_excellent,Condition_fair,Condition_good,Condition_like new,Condition_new,Condition_salvage,Fuel Type_diesel,Fuel Type_electric,Fuel Type_gas,Fuel Type_hybrid,Fuel Type_other,Transmission_automatic,Transmission_manual,Transmission_other,Body Type_bus,Body Type_convertible,Body Type_coupe,Body Type_hatchback,Body Type_minivan,Body Type_offroad,Body Type_other,Body Type_pickup,Body Type_sedan,Body Type_suv,Body Type_truck,Body Type_van,Body Type_wagon,Title Status_clean,Title Status_lien,Title Status_missing,Title Status_parts only,Title Status_rebuilt,Title Status_salvage
4750.0,0.03538051721359602,-1.2903745530029764,-0.3633070740863948,9753.357142857143,-0.08589119605073788,1.0,0,0.0,1,1.0,2,1,1,Low,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
17500.0,-0.8383783450516138,1.4909905541091564,0.29386598806404146,1260.8695652173913,-0.07806416526416196,5.0,0,2.0,1,1.0,0,0,2,High,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
8900.0,-0.10300302394481212,0.10030800055308994,-0.5823647614698736,10864.90909090909,-0.0899657856018973,5.0,0,1.0,1,1.0,1,1,0,High,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
8499.0,-0.33872544883590905,-1.2903745530029764,-0.6553839905976998,9050.0,-0.12207955785108511,1.0,0,1.0,1,1.0,1,0,0,Low,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
9500.0,-0.48902753956746253,-1.2903745530029764,-0.5823647614698736,6545.454545454545,-0.13808613573577072,1.0,0,0.0,1,1.0,1,0,0,Low,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
4500.0,-0.20262487456915312,-1.2903745530029764,-0.43632630321422106,8250.153846153846,-0.13808613573577072,5.0,0,0.0,1,1.0,2,1,0,High,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
8900.0,-0.26966773147276285,0.10030800055308994,-0.43632630321422106,7615.384615384615,-0.08129494844366653,1.0,0,4.0,1,1.0,1,1,0,Medium,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
14999.0,-0.27779216880960356,0.10030800055308994,-0.728403219725526,10888.888888888889,-0.07806416526416196,2.0,0,0.0,1,1.0,0,1,0,Low,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
6500.0,-0.2615432941359221,0.10030800055308994,-0.2902878449585686,6666.666666666667,-0.10564009244470514,5.0,0,0.0,1,1.0,1,1,1,High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
8200.0,-0.2615432941359221,-1.2903745530029764,-0.728403219725526,11111.111111111111,-0.08129494844366653,2.0,0,0.0,1,1.0,1,1,0,Low,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
4700.0,0.3071673194429289,0.10030800055308994,-0.2902878449585686,11333.333333333334,-0.12618548749920208,1.0,0,3.0,1,1.0,2,2,1,High,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
7500.0,-0.773382846356888,0.10030800055308994,0.6589621337031727,1321.4285714285713,1.5310758520454417,5.0,0,2.0,1,1.0,1,0,2,High,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
25000.0,-0.3427876675043294,1.4909905541091564,3.725769757071875,1285.7142857142858,-0.08589119605073788,2.0,0,3.0,1,1.0,0,0,2,Medium,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
8200.0,0.06343419933770705,0.10030800055308994,-0.6553839905976998,14000.0,-0.08589119605073788,2.0,0,1.0,1,1.0,1,1,0,Low,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
5000.0,0.16905188471663654,-1.2903745530029764,-0.3633070740863948,10928.57142857143,-0.1281563327485381,1.0,0,3.0,1,1.0,2,2,1,High,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4500.0,1.9320547868110747,1.4909905541091564,0.5129236754475202,14230.76923076923,-0.08589119605073788,2.0,0,2.0,1,1.0,2,2,2,High,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
9000.0,0.5184026902007879,1.4909905541091564,-0.14424938670291604,11529.411764705883,-0.08694723609827647,2.0,0,4.0,2,1.0,1,2,1,Very High,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
9750.0,-0.5640079717491656,-1.2903745530029764,1.6812313414927402,1494.547619047619,-0.07319191943486071,1.0,0,2.0,1,2.0,1,0,2,Medium,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
10500.0,0.6402692502533988,1.4909905541091564,-0.2902878449585686,14066.666666666666,-0.08589119605073788,5.0,0,3.0,1,1.0,1,2,1,Very High,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
15200.0,0.0065631379798219555,0.10030800055308994,-0.728403219725526,14777.777777777777,-0.08589119605073788,5.0,0,1.0,1,1.0,0,1,0,Medium,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
15500.0,-0.8708760943989767,0.10030800055308994,3.8718082153275275,347.22222222222223,-0.08129494844366653,5.0,0,0.0,1,1.0,0,0,2,Medium,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
15000.0,-0.4111223099444968,0.10030800055308994,-0.0712301575750898,4532.722222222223,0.06875302419616844,5.0,3,1.0,1,1.0,0,0,1,High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6600.0,-0.17379937089804223,-1.2903745530029764,-0.2902878449585686,7386.666666666667,-0.12428117499903654,1.0,0,1.0,1,1.0,1,1,1,Low,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
37000.0,-0.41038298614684426,1.4909905541091564,0.8780198210866514,2634.8387096774195,-0.08589119605073788,5.0,0,2.0,2,1.0,0,0,2,High,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2300.0,-0.04218348604122242,0.10030800055308994,-0.5823647614698736,11545.454545454546,-0.13093973648058735,5.0,0,0.0,1,1.0,2,1,0,High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
