Price,Mileage,Cylinders,Car_Age,Mileage_per_Year,Brand_Encoded,Condition_Risk,Title_Risk,Body_Risk,Fuel_Risk,Transmission_Risk,Price_Risk,Mileage_Risk,Age_Risk,Total_Risk,Risk_Category,Fuel Type_diesel,Fuel Type_electric,Fuel Type_gas,Fuel Type_hybrid,Fuel Type_other,Transmission_automatic,Transmission_manual,Body Type_bus,Body Type_convertible,Body Type_coupe,Body Type_hatchback,Body Type_minivan,Body Type_offroad,Body Type_other,Body Type_pickup,Body Type_sedan,Body Type_suv,Body Type_truck,Body Type_van,Body Type_wagon,Condition_excellent,Condition_fair,Condition_good,Condition_like new,Condition_new,Condition_salvage,Title Status_clean,Title Status_lien,Title Status_missing,Title Status_parts only,Title Status_rebuilt,Title Status_salvage
9500.0,-0.9311757243656154,-1.1477798225000746,-0.6179230439942861,6545.454545454545,-1.1703282119431215,2,0.0,0.0,1.0,1,1,0,0,5.0,Low,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
4500.0,-0.3367460520704631,-1.1477798225000746,-0.44806269041133506,8250.153846153846,-1.1703282119431215,1,0.0,0.0,1.0,1,2,1,0,6.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
8900.0,-0.4758937218701793,0.15765040644605063,-0.44806269041133506,7615.384615384615,0.4980530009985823,2,0.0,3.0,1.0,1,1,0,0,8.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
14999.0,-0.4927560182588992,0.15765040644605063,-0.7877833975772373,10888.888888888889,0.6800426329312276,3,0.0,0.0,1.0,1,0,0,0,5.0,Low,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
8200.0,-0.4590314254814595,-1.1477798225000746,-0.7877833975772373,11111.111111111111,0.4980530009985823,3,0.0,0.0,1.0,1,1,0,0,6.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
4700.0,0.7213293217289302,0.15765040644605063,-0.27820233682838397,11333.333333333334,-0.840895088820395,2,0.0,2.0,1.0,1,2,2,1,11.0,High,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
7500.0,-1.52135609797081,0.15765040644605063,0.8258899614607982,1321.4285714285713,0.05921937040830597,1,0.0,2.0,1.0,1,1,0,2,8.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
8200.0,0.21546043006733456,0.15765040644605063,-0.7028532207857617,14000.0,0.3045301097317832,3,0.0,,1.0,1,1,1,0,,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
9000.0,1.1597490278356462,1.463080635392176,-0.10834198324543284,11529.411764705883,0.391413902071531,3,0.0,3.0,2.0,1,1,2,1,13.0,High,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
9750.0,-1.086797857737111,-1.1477798225000746,2.0149124365414557,1494.547619047619,0.7407304950209297,2,0.0,,1.0,2,1,0,2,,,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
